#######################
#  MAR 580: Advanced Population Modeling
#  Fall 2017
#  Gavin Fay
#
#  Biomass Dynamics
#   yeild (catch biomass) and CPUE series for floundah
#######################
#
# first year of catches
1935
# last year of catches
2016
# Number of years of cpue data
37 
# Catch time series (year then value)
1935	7
1936	15
1937	16
1938	18
1939	19
1940	23
1941	32
1942	34
1943	40
1944	49
1945	57
1946	55
1947	58
1948	77
1949	95
1950	114
1951	99
1952	113
1953	83
1954	126
1955	68
1956	44
1957	49
1958	45
1959	51
1960	41
1961	39
1962	45
1963	70
1964	88
1965	104
1966	68
1967	60
1968	74
1969	63
1970	94
1971	60
1972	64
1973	72
1974	96
1975	78
1976	66
1977	74
1978	70
1979	67
1980	65
1981	57
1982	68
1983	64
1984	57
1985	68
1986	87
1987	65
1988	59
1989	88
1990	88
1991	110
1992	111
1993	65
1994	71
1995	80
1996	59
1997	30
1998	38
1999	60
2000	50
2001	54
2002	73
2003	64
2004	84
2005	104
2006	90
2007	123
2008	126
2009	125
2010	96
2011	145
2012	143
2013	132
2014	200
2015	159
2016	150
##
#CPUE
1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
1.2596	1.276	1.1588	1.4358	1.0302	1.5525	1.2893	1.6801	1.3876	1.9407	1.3555	2.5935	1.1256	3.2408	1.5396	2.4864	1.6153	1.4837	1.3544	3.1136	2.5472	1.8245	0.8796	2.5285	4.2026	1.2706	1.3514	1.3853	1.0286	1.0418	2.0696	1.0652	1.6887	1.5013	1.7	1.3805	1.1664
